ano_entre,ano_sortie,entre_id,sortie_id
412,98,2358,366
412,98,2359,367
412,98,2360,368
412,98,2361,369
412,98,2363,370
412,98,2362,371
412,98,2364,372
412,98,2365,373
412,98,2366,374
412,98,2367,375
412,98,2368,376
412,98,2369,377
412,98,2370,378
412,98,2371,379
412,98,2372,380
412,98,2373,381
412,98,2374,382
412,98,2375,383
412,98,2376,384
412,98,2377,385
412,98,2378,386
412,98,2379,387
412,98,2380,388
412,98,2381,389
412,98,2382,390
412,98,2383,391
412,98,2385,392
412,98,2386,393
412,98,2387,394
412,98,2384,395
412,98,2388,396
412,98,2389,397
412,98,2390,398
412,98,2391,399
412,98,2392,400
412,98,2393,401
412,98,2394,402
412,98,2395,403
412,98,2396,404
412,98,2397,405
412,98,2398,406
412,98,2399,407
412,98,2400,408
412,98,2401,409
412,98,2402,410
412,98,2403,411
412,98,2404,412
412,98,2405,413
412,98,2406,414
412,98,2407,415
412,98,2408,416
412,98,2409,417
412,98,2410,418
412,98,2411,419
412,98,2412,420
412,98,2413,421
412,98,2414,422
412,98,2415,423
412,98,2416,424
412,98,2417,425
412,98,2418,426
412,98,2419,427
412,98,2420,428
412,98,2421,429
412,98,2422,430
412,98,2423,431
412,98,2424,432
412,98,2425,433
412,98,2426,434
412,98,2427,435
412,98,2428,436
412,98,2429,437
412,98,2430,438
412,98,2431,439
412,98,2432,440
412,98,2433,441
412,98,2434,442
412,98,2435,443
412,98,2436,444
412,98,2437,445
412,98,2438,446
412,98,2439,447
412,98,2440,448
412,98,2441,449
412,98,2442,450
412,98,2443,451
412,98,2444,452
412,98,2445,453
412,98,2446,454
412,98,2447,455
412,98,2448,456
412,98,2449,457
412,98,2450,458
412,98,2451,459
412,98,2452,460
412,98,2453,461
412,98,2454,462
412,98,2455,463
412,98,2456,464
412,98,2457,465
412,98,2458,466
412,98,2459,467
412,98,2460,468
412,98,2461,469
412,98,2462,470
412,98,2463,471
412,98,2464,472
412,98,2465,473
412,98,2466,474
412,98,2467,475
412,98,2468,476
412,98,2469,477
412,98,2470,478
412,98,2471,479
412,98,2472,480
412,98,2473,481
412,98,2474,482
412,98,2475,483
412,98,2476,484
412,98,2477,485
412,98,2478,486
412,98,2479,487
412,98,2480,488
412,98,2481,489
412,98,2482,490
1295,99,7260,491
1295,99,7261,492
1295,99,7262,493
454,100,2647,494
454,100,2648,495
397,101,2289,496
397,101,2290,497
397,101,2291,498
1380,102,7854,499
1380,102,7855,500
1380,102,7856,501
1380,102,7857,502
1380,102,7858,503
396,103,2287,504
396,103,2288,505
568,104,3145,506
500,105,2888,507
500,105,2889,508
500,105,2890,509
1656,106,9869,510
1656,106,9870,511
1656,106,9871,512
1656,106,9872,513
1656,106,9873,514
1656,106,9874,515
1656,106,9875,516
289,107,1690,517
88,108,312,518
88,108,313,519
1435,109,8096,520
1435,109,8097,521
1435,109,8098,522
1435,109,8099,523
1435,109,8100,524
1230,110,6997,525
1230,110,6996,526
1230,110,6998,527
1230,110,6999,528
270,111,1631,529
270,111,1632,530
270,111,1633,531
270,111,1634,532
971,112,5693,533
971,112,5694,534
971,112,5696,535
971,112,5695,536
971,112,5697,537
1919,113,11197,538
1919,113,11198,539
133,114,482,540
133,114,483,541
133,114,484,542
133,114,485,543
133,114,486,544
133,114,487,545
133,114,488,546
133,114,489,547
133,114,490,548
1718,115,10130,549
1718,115,10131,550
135,116,497,551
135,116,498,552
135,116,499,553
135,116,500,554
135,116,501,555
135,116,502,556
135,116,504,557
135,116,503,558
135,116,505,559
135,116,506,560
135,116,507,561
135,116,508,562
135,116,509,563
135,116,510,564
135,116,511,565
135,116,512,566
135,116,513,567
135,116,515,568
135,116,514,569
135,116,516,570
135,116,517,571
135,116,518,572
135,116,519,573
135,116,520,574
135,116,522,575
135,116,521,576
135,116,523,577
135,116,524,578
135,116,525,579
135,116,528,580
135,116,526,581
135,116,527,582
135,116,531,583
135,116,529,584
135,116,530,585
135,116,532,586
135,116,533,587
135,116,535,588
135,116,537,589
135,116,538,590
135,116,534,591
135,116,536,592
135,116,539,593
135,116,540,594
135,116,542,595
135,116,543,596
135,116,546,597
135,116,547,598
135,116,548,599
135,116,549,600
135,116,541,601
135,116,544,602
135,116,545,603
135,116,552,604
135,116,553,605
135,116,550,606
135,116,551,607
135,116,554,608
135,116,555,609
135,116,556,610
135,116,557,611
135,116,559,612
135,116,558,613
135,116,561,614
135,116,562,615
135,116,560,616
135,116,563,617
135,116,564,618
135,116,565,619
135,116,567,620
135,116,568,621
135,116,569,622
135,116,570,623
135,116,566,624
135,116,571,625
135,116,572,626
135,116,573,627
135,116,574,628
135,116,575,629
135,116,576,630
135,116,577,631
135,116,578,632
135,116,580,633
135,116,581,634
135,116,579,635
135,116,582,636
135,116,583,637
135,116,584,638
135,116,585,639
135,116,586,640
135,116,587,641
135,116,588,642
135,116,589,643
135,116,590,644
135,116,591,645
135,116,592,646
135,116,595,647
135,116,593,648
135,116,594,649
135,116,596,650
135,116,597,651
135,116,598,652
135,116,599,653
135,116,602,654
135,116,603,655
135,116,600,656
135,116,601,657
135,116,604,658
135,116,605,659
135,116,606,660
135,116,608,661
135,116,607,662
135,116,609,663
135,116,612,664
135,116,610,665
135,116,611,666
135,116,613,667
135,116,615,668
135,116,620,669
135,116,621,670
135,116,614,671
135,116,616,672
135,116,617,673
135,116,618,674
135,116,619,675
135,116,622,676
135,116,624,677
135,116,623,678
135,116,626,679
135,116,627,680
135,116,625,681
135,116,631,682
135,116,633,683
135,116,628,684
135,116,632,685
135,116,629,686
135,116,630,687
135,116,634,688
135,116,635,689
135,116,636,690
135,116,639,691
135,116,641,692
135,116,637,693
135,116,638,694
135,116,640,695
135,116,646,696
135,116,642,697
135,116,643,698
135,116,644,699
135,116,645,700
135,116,647,701
135,116,648,702
135,116,649,703
135,116,650,704
135,116,651,705
135,116,653,706
135,116,652,707
135,116,654,708
135,116,655,709
135,116,657,710
135,116,658,711
135,116,656,712
135,116,660,713
135,116,659,714
135,116,661,715
135,116,662,716
135,116,664,717
135,116,663,718
135,116,666,719
135,116,667,720
135,116,668,721
135,116,665,722
135,116,669,723
135,116,670,724
135,116,671,725
135,116,673,726
135,116,674,727
135,116,675,728
135,116,672,729
135,116,676,730
135,116,677,731
135,116,678,732
135,116,679,733
135,116,681,734
135,116,682,735
135,116,680,736
135,116,683,737
135,116,684,738
135,116,685,739
135,116,686,740
135,116,687,741
135,116,689,742
135,116,688,743
135,116,690,744
135,116,691,745
135,116,694,746
135,116,692,747
135,116,693,748
135,116,698,749
135,116,695,750
135,116,696,751
135,116,697,752
135,116,700,753
135,116,699,754
135,116,701,755
135,116,703,756
135,116,702,757
135,116,704,758
135,116,705,759
135,116,706,760
135,116,707,761
135,116,708,762
135,116,710,763
135,116,709,764
135,116,711,765
135,116,712,766
135,116,713,767
135,116,714,768
135,116,715,769
135,116,716,770
135,116,717,771
135,116,719,772
135,116,718,773
135,116,720,774
135,116,722,775
135,116,723,776
135,116,721,777
135,116,724,778
135,116,725,779
135,116,726,780
1430,117,8087,781
1430,117,8088,782
265,118,1589,783
265,118,1590,784
265,118,1591,785
1050,119,5991,786
1050,119,5992,787
1681,120,9989,788
1564,121,9265,789
1564,121,9266,790
409,122,2342,791
409,122,2343,792
409,122,2344,793
1097,123,6181,794
1097,123,6182,795
1097,123,6183,796
1097,123,6184,797
1097,123,6185,798
1097,123,6186,799
1097,123,6187,800
1097,123,6188,801
1097,123,6189,802
139,124,740,803
139,124,741,804
